link,price,area,room,toilet,address,lat,long
https://mogi.vn/quan-son-tra/mua-nha-mat-tien-pho/ban-nha-mt-dinh-thi-hoa-gan-pham-van-dong-thu-nhap-50-tr-th-son-tra-id22085389,12 tỷ 300 triệu,98 m2,9 PN,10 WC,"Đinh Thị Hòa, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",16.07285,108.23704
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/ban-biet-thu-le-huu-khanh-gan-song-sat-bui-ta-han-id22088240,13 tỷ,200 m2,6 PN,6 WC,"Lê Hữu Khánh, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.02967,108.24049
https://mogi.vn/quan-son-tra/mua-dat-kho-xuong/ban-dat-nguyen-thi-dinh-vi-tri-kd-gan-cho-an-hai-bac-son-tra-8-3-ty-id21927483,8 tỷ 300 triệu,90 m2,0 PN,0 WC,"Nguyễn Thị Định, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",16.08327,108.2333
https://mogi.vn/quan-son-tra/mua-nha-hem-ngo/ban-nha-3-tang-mt-nai-hien-dong-12-gan-song-han-son-tra-chi-3-8-ty-id21945320,3 tỷ 800 triệu,69 m2,3 PN,2 WC,"Nại Hiên Đông 12, Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",16.09412,108.2287
https://mogi.vn/quan-son-tra/mua-dat-kho-xuong/ban-dat-100m2-mat-tien-nguyen-xuan-khoat-gan-bai-tam-son-tra-8-65-ty-id21917809,8 tỷ 650 triệu,100 m2,0 PN,0 WC,"Nguyễn Xuân Khoát, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",16.06986,108.23666
https://mogi.vn/quan-hai-chau/mua-dat-tho-cu/giam-500tr-ban-dat-125m2-mt-duong-3-2-vi-tri-kd-thuan-phuoc-hai-chau-id21951188,15 tỷ 500 triệu,125 m2,0 PN,0 WC,"Đường 3 Tháng 2, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng",16.08562,108.21912
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/ban-dat-mt-bui-huy-bich-5m5-gan-song-marina-complex-son-tra-3-5-ty-id22152900,3 tỷ 500 triệu,75 m2,0 PN,0 WC,"Bùi Huy Bích, Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",16.09256,108.2308
https://mogi.vn/quan-ngu-hanh-son/mua-nha-hem-ngo/ban-nha-mat-tien-an-thuong-14-khu-pho-tay-gan-bien-my-an-chi-4-56-ty-id21937343,4 tỷ 560 triệu,43 m2,1 PN,1 WC,"An Thượng 14, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",16.04673,108.24238
https://mogi.vn/quan-ngu-hanh-son/mua-dat-tho-cu/ban-dat-bien-mt-nguyen-duc-thuan-duong-15m-gan-bien-son-thuy-khue-my-id21998748,7 tỷ 800 triệu,90 m2,0 PN,0 WC,"Nguyễn Đức Thuận, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng",16.02037,108.25541
https://mogi.vn/quan-ngu-hanh-son/mua-nha-mat-tien-pho/ban-nha-2-mt-tran-van-du-11-can-ho-thu-nhap-45tr-th-gan-bien-22-2-ty-id22151513,22 tỷ 200 triệu,251 m2,11 PN,11 WC,"Trần Văn Dư, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng",16.04112,108.24417
